순번,회사명,생산품,업종명,대표주소,전화번호,팩스번호,데이터기준일자,실측점검,품질점검
1190,(주)이지라인,LED조명기구,일반용 전기 조명장치 제조업,인천광역시 서구 보도진로 100-37 (가좌동),032-812-5937,032-812-5967,2021-06-30,,
1191,(주)이지시스템,"포장기계, 계량기계","용기 세척, 포장 및 충전기 제조업",인천광역시 서구 장고개로243번길 19 (가좌동) (주)이지시스템,032-584-3330,032-584-3329,2021-06-30,,
1192,(주)이지아이다이아몬드,산업용다이아몬드공구,분말 야금제품 제조업,인천광역시 서구 원창로89번길 18 (원창동),032-581-3013,032-581-3090,2021-06-30,,
1193,(주)이지엠케이엔씨,"주방가구,아파트가구",기타 목재가구 제조업,인천광역시 서구 북항로245번길 4 (원창동),032-574-2336,032-574-2336,2021-06-30,,
1194,(주)이지콜렉션,가방(캐리어),가방 및 기타 보호용 케이스 제조업,인천광역시 서구 가정로151번길 29 (가좌동),032-505-1493,032-505-1493,2021-06-30,,
1195,(주)이퀘스트,여성 블라우스 및 바지,"근무복, 작업복 및 유사의복 제조업 외 2 종",인천광역시 서구 백범로701번길 6 (가좌동),032-583-8899,032-583-2299,2021-06-30,,
1196,(주)이투인,"멀티콘센트,조명등",일반용 전기 조명장치 제조업 외 1 종,"인천광역시 서구 거북로 25-50, B동 2층 (석남동)",032-577-0940,032-577-0941,2021-06-30,,
1197,(주)이화기업,금속가공,그 외 기타 금속가공업,"인천광역시 서구 백범로 681, 스마트테크노타워 714호 (가좌동)",032-574-1170,032-574-4255,2021-06-30,,
1198,(주)익산유압,유업밸브,"탭, 밸브 및 유사장치 제조업",인천광역시 서구 봉수대로183번길 7 (가좌동),032-573-0781,032-573-0784,2021-06-30,,
1199,(주)인공지능과사람들,"산업용로봇제어시스템, 인공지능로봇 등",산업용 로봇 제조업 외 2 종,"인천광역시 서구 로봇랜드로 155-11, 501호(청라동, 로봇랜드 로봇지원센터)",031-628-5350,031-628-5355,2021-06-30,,
1200,(주)인바이어플랜텍,토양오염복원기계 등 산업기계,그 외 기타 특수목적용 기계 제조업 외 1 종,"인천광역시 서구 중봉대로240번길 10, 다동 (석남동)",032-571-0957,032-571-0958,2021-06-30,,
1201,(주)인성변압기,변압기,변압기 제조업,인천광역시 서구 검단로379번길 17 (왕길동),032-561-1320,032-561-7480,2021-06-30,,
1202,(주)인성시스템,주파수변환기기,전동기 및 발전기 제조업,인천광역시 서구 장고개로126번길 16 (가좌동),032-581-5551,032-578-6833,2021-06-30,,
1203,(주)인성우드,합판,"박판, 합판 및 유사 적층판 제조업",인천광역시 서구 사렴로43번길 10 (경서동),032-569-1607,032-569-1609,2021-06-30,,
1204,(주)인성테크닉,"옷걸이, 기계부품",도금업,인천광역시 서구 가람로 14 (오류동) 인천표면처리센터 요진코아텍 1동 1층 110호,032-576-5104,032-585-6106,2021-06-30,,
1205,(주)인우목공기계,목공기계,기타 가공 공작기계 제조업,인천광역시 서구 마중로 76 (오류동),032-566-6667,032-561-0067,2021-06-30,,
1206,(주)인우이엔씨 인천공장,아스콘,아스팔트 콘크리트 및 혼합제품 제조업,인천광역시 서구 도담6로 10 (오류동),032-567-0231,032-567-0232,2021-06-30,,
1207,(주)인천아스콘,아스콘,아스팔트 콘크리트 및 혼합제품 제조업,인천광역시 서구 건지로153번길 25-13 (석남동),032-574-4414,070-7720-0510,2021-06-30,,
1208,(주)인천테크,아스콘,아스팔트 콘크리트 및 혼합제품 제조업,인천광역시 서구 봉수대로 290 (석남동),032-572-1331,032-575-5386,2021-06-30,,
1209,(주)인터우드,표면가공목재,표면 가공 목재 및 특정 목적용 제재목 제조업,인천광역시 서구 북항로 76-44 (원창동),032-578-0641,032-578-0643,2021-06-30,,
1210,(주)인터파워 인천지점,"등기구, 안정기, LED램프",방전램프용 안정기 제조업 외 2 종,"인천광역시 서구 건지로153번길 46-21, 301호 (석남동)",032-574-5066,032-574-5067,2021-06-30,,
1211,(주)인터파워 인천지점,"전자식안정기, LED등기구",방전램프용 안정기 제조업 외 1 종,인천광역시 서구 보듬로 158 (오류동) 블루텍 1동 5층 514호,,02-856-3122,2021-06-30,,
1212,(주)인테크코리아,중량선별기,"전자기 측정, 시험 및 분석기구 제조업",인천광역시 서구 장고개로217번길 10 (가좌동) 인테크코리아,032-681-0714,032-681-0713,2021-06-30,,
1213,(주)인텍코리아,PCB홀가공,메모리용 전자집적회로 제조업 외 1 종,인천광역시 서구 석남로 15 (석남동),032-577-0061,032-577-0034,2021-06-30,,
1214,(주)인투스카이,"드론, 드론부품",무인 항공기 및 무인 비행장치 제조업,"인천광역시 서구 로봇랜드로 155-11, 로봇타워 1003호 (청라동)",070-4617-5345,032-715-5896,2021-06-30,,
1215,(주)인투알,통신장비 캐비넷,유선 통신장비 제조업 외 2 종,인천광역시 서구 도담로 61 (오류동),032-611-2300,032-654-2500,2021-06-30,,
1216,(주)인트로산업,"일반도료코팅보드,방염코팅보드",기타 건축용 나무제품 제조업 외 1 종,인천광역시 서구 건지로 194 (가좌동),032-571-2999,032-571-2997,2021-06-30,,
1217,(주)인트리,OLED TEG CELL,유기발광 표시장치 제조업,"인천광역시 서구 백범로 681, 주안스마트테크노타워 801호 (가좌동)",031-459-5900,031-459-9600,2021-06-30,,
1218,(주)인퍼스퍼니처,사무용가구,기타 목재가구 제조업,인천광역시 서구 가재울로 112 (가좌동),032-434-7690,032-434-7653,2021-06-30,,
1219,(주)인퍼시스,"금속가구, 플라스틱가구",금속 가구 제조업 외 1 종,"인천광역시 서구 로봇랜드로249번길 94, C동 (청라동)",032-811-3755,032-232-1096,2021-06-30,,
1220,(주)일레븐전자,점착테이프,플라스틱 접착처리 제품 제조업,인천광역시 서구 이든1로 43 (오류동),031-8019-8999,031-8019-8997,2021-06-30,,
1221,(주)일성엠에스,조명기기,일반용 전기 조명장치 제조업 외 2 종,인천광역시 서구 건지로250번길 104 (가좌동),032-715-5860,032-715-5862,2021-06-30,,
1222,(주)일신엠알오,일반철물 외 소매,철물 및 난방용구 소매업,"인천광역시 서구 보듬로 158, 1층 검단지식산업센터 블루텍 139호 (오류동) 외 1필지",032-220-5550,032-220-5549,2021-06-30,,
1223,(주)일신이엠,산업용기계,그 외 기타 특수목적용 기계 제조업 외 4 종,인천광역시 서구 원전로59번길 6 (경서동),032-542-0064,032-542-0065,2021-06-30,,
1224,(주)일조산업,열처리 임가공,금속 열처리업,인천광역시 서구 누리로 32 (오류동),032-576-6432,032-576-6431,2021-06-30,,
1225,(주)일호기업,그라비아롤제작,도금업,인천광역시 서구 누리1로 30 (오류동),032-813-7004,032-813-7069,2021-06-30,,
1226,(주)일화금속,"샤프트,너트,플랜저",절삭가공 및 유사처리업 외 1 종,인천광역시 서구 북항로193번길 13 (원창동),032-575-7053,032-565-5014,2021-06-30,,
1227,(주)잇츠윈,3D Graphic Rear Lamp Panel,운송장비 조립용 플라스틱제품 제조업,인천광역시 서구 로봇랜드로249번길 62-28 (청라동),032-575-8185,032-574-8185,2021-06-30,,
1228,(주)자연푸드,오리훈제가공,가금류 가공 및 저장 처리업,"인천광역시 서구 보듬로 158, 6층 블루텍 공존 628호 (오류동) 외 2필지",032-582-5280,032-422-5955,2021-06-30,,
1229,(주)장고시스템,"자동화설비, 검사기","기타 측정, 시험, 항해, 제어 및 정밀기기 제조업 외 1 종",인천광역시 서구 검단천로356번길 43 (오류동),031-499-7284,031-499-7287,2021-06-30,,
1230,(주)장성그룹,운동기구(파워랙),"체조, 육상 및 체력단련용 장비 제조업",인천광역시 서구 호두산로58번길 48 (경서동),070-4218-9733,,2021-06-30,,
1231,(주)장안기업,가스보일러용 연통 및 부품,가정용 비전기식 조리 및 난방 기구 제조업,인천광역시 서구 가정로77번길 11 (가좌동) 외 1필지,032-566-0921,032-566-0924,2021-06-30,,
1232,(주)장애인장학사업장,액상차,기타 과실ㆍ채소 가공 및 저장 처리업,인천광역시 서구 봉수대로1545번길 31 (금곡동),032-330-5958,050-5988-8500,2021-06-30,,
1233,(주)재경기업,문짝 자재(필름),"목재 보존, 방부처리, 도장 및 유사 처리업",인천광역시 서구 원당대로480번길 66 (왕길동),032-565-0545,032-565-0547,2021-06-30,,
1234,(주)재미난나무,원목가구,기타 목재가구 제조업,인천광역시 서구 건지로97번길 22 (석남동) 공장 1층,032-875-1287,032-875-1289,2021-06-30,,
1235,(주)재영엠엔씨,공장자동화 장치,컨베이어장치 제조업 외 1 종,인천광역시 서구 북항로120번길 28-48(원창동),032-583-8211,032-583-8210,2021-06-30,,
1236,(주)재원산업기계,강관제조기계,디지털 적층 성형기계 제조업 외 3 종,인천광역시 서구 북항로178번길 68-5 (원창동),032-579-2721,032-579-2720,2021-06-30,,
1237,(주)재인,전자피아노,전자 악기 제조업,"인천광역시 서구 봉수대로 196, 2층 일부 (가좌동)",032-575-2997,032-575-2999,2021-06-30,,
1238,(주)재인써키트,인쇄회로기판,인쇄회로기판용 적층판 제조업,"인천광역시 서구 가재울로 30, (주)재인써키트 (가좌동)",032-579-4433,032-579-4435,2021-06-30,,
1239,(주)재현,제재목(내장재),표면 가공 목재 및 특정 목적용 제재목 제조업,인천광역시 서구 가좌동 543-8번지,032-576-3663,032-579-3664,2021-06-30,,
1240,(주)쟈마트,금속가구,금속 가구 제조업,인천광역시 서구 북항로193번길 25 (원창동),032-819-6149,032-811-6149,2021-06-30,,
1241,(주)전음정밀,금형,주형 및 금형 제조업,"인천광역시 서구 가좌로 54, 3층 304호, 305호, 306호 (가좌동)",032-541-5084,032-541-5085,2021-06-30,,
1242,(주)정광산업,스테인레스 텀블러,수동식 식품 가공기기 및 금속 주방용기 제조업,인천광역시 서구 검단로326번길 34-7 (왕길동),032-563-6087,032-563-6084,2021-06-30,,
1243,(주)정목,제재목,일반 제재업,인천광역시 서구 북항로 96 (원창동),032-568-7982,032-568-7986,2021-06-30,,
1244,(주)정문,각재생산,일반 제재업,인천광역시 서구 누리로 3 (오류동),032-575-4055,032-567-4055,2021-06-30,,
1245,(주)정민,전열교환기,공기 조화장치 제조업 외 2 종,인천광역시 서구 파랑로466번길 55 (청라동),032-876-9455,032-876-9453,2021-06-30,,
1246,(주)정민테크,송풍기 부품,산업용 송풍기 및 배기장치 제조업,인천광역시 서구 로봇랜드로249번길 62-18 (청라동),032-875-6655,032-232-3351,2021-06-30,,
1247,(주)정민통상,전자기타 부품,전자 악기 제조업,인천광역시 서구 두루물로8번길 17 (오류동),032-564-7471,032-564-7473,2021-06-30,,
1248,(주)정석전자,인쇄회로기판,경성 인쇄회로기판 제조업,인천광역시 서구 가좌로95번길 14 (가좌동),032-861-5757,032-573-8323,2021-06-30,,
1249,(주)정성종합목재,각제판재,일반 제재업 외 2 종,인천광역시 서구 원당대로262번길 31 (오류동),032-573-3926,032-573-9752,2021-06-30,,
1250,(주)정성화스너,"볼트,너트",볼트 및 너트류 제조업 외 2 종,"인천광역시 서구 사렴로53번길 19 (경서동, 가동)",032-564-5402,032-564-5404,2021-06-30,,
1251,(주)정우도장,분체도장,그 외 기타 분류 안된 금속 가공 제품 제조업,"인천광역시 서구 장고개로117번길 32-7 (가좌동, 정우도장)",032-866-0588,032-866-0688,2021-06-30,,
1252,(주)정우프랜트,"건조기, 태양광발전",그 외 기타 특수목적용 기계 제조업 외 1 종,인천광역시 서구 검단로 46 (오류동),032-563-2671,032-564-0405,2021-06-30,,
1253,(주)정인엔지니어링,"사출,금형",기타 기계.장비 조립용 플라스틱 제품 제조업,인천광역시 서구 가정로47번길 12 (가좌동),032-818-5844,032-818-5842,2021-06-30,,
1254,(주)정환,젖병소독기,기타 가정용 전기기기 제조업,"인천광역시 서구 원전로69번길 31 (경서동, 삼우INT)",032-553-0155,032-553-0146,2021-06-30,,
1255,(주)제3금속,자동차부품,도금업 외 1 종,"인천광역시 서구 가람로 14, 3층 인천표면처리센터 코아텍 302호 (오류동)",032-578-3319,032-578-3320,2021-06-30,,
1256,(주)제노스미디어,텔레비젼,텔레비전 제조업,인천광역시 서구 건지로153번길 26-10 (석남동),032-572-1676,032-572-1677,2021-06-30,,
1257,(주)제물포금속,알미늄괴,알루미늄주물 주조업,"인천광역시 서구 사렴로 29 (경서동, 라동)",032-561-8091,032-561-8094,2021-06-30,,
1258,(주)제우라이텍,조명기구4,일반용 전기 조명장치 제조업,"인천광역시 서구 가남로 61, A동 2층 210 (가좌동, 토지산업2차 지식산업센터)",032-578-3838,032-577-3839,2021-06-30,,
1259,(주)제워디,소방용기계기구,유압기기 제조업,"인천광역시 서구 보듬로 158, 4층 검단지식산업센터 블루텍 426호 (오류동) 외 1필지",032-547-7977,032-547-6180,2021-06-30,,
1260,(주)제이.에이.씨,인쇄회로판,경성 인쇄회로기판 제조업,"인천광역시 서구 중봉대로198번길 37 (가좌동, 라미전자(주)) (총 2 필지) 외 1필지",032-578-2703,032-578-2704,2021-06-30,,
1261,(주)제이.에이.씨 가좌제2공장,인쇄회로판,경성 인쇄회로기판 제조업,"인천광역시 서구 중봉대로198번길 27, 301호 (가좌동)",032-578-2703,032-578-2704,2021-06-30,,
1262,(주)제이디텍,"컨케이너, 철구조물 외",그 외 기타 일반목적용 기계 제조업 외 12 종,인천광역시 서구 두루물로96번길 14 (오류동),032-564-6097,032-564-6099,2021-06-30,,
1263,(주)제이씨엠,"조립용 금속 구조재, 일반철물 등",육상 금속 골조 구조재 제조업 외 1 종,인천광역시 서구 검단로326번길 47-11 (왕길동),032-565-0538,032-565-8504,2021-06-30,,
1264,(주)제이아이코리아,우레탄제품,그 외 자동차용 신품 부품 제조업,"인천광역시 서구 건지로153번길 46-20 (석남동, A동)",032-571-6383,032-571-6385,2021-06-30,,
1265,(주)제이앤에스알루텍,알루미늄 부품,도금업,"인천광역시 서구 백범로 681, 스마트테크노타워 705~709호 (가좌동)",032-875-8179,032-875-8189,2021-06-30,,
1266,(주)제이앤제이미트,식육축산물,육류 포장육 및 냉동육 가공업 (가금류 제외),인천광역시 서구 가좌로84번길 47 (가좌동),032-573-8650,032-573-8651,2021-06-30,,
1267,(주)제이앤피네이처,"로션,크림류,에센스,세탁,주방세제",화장품 제조업 외 1 종,"인천광역시 서구 보듬로 158, 6층 검단지식산업센터 블루텍 617호 (오류동)",,,2021-06-30,,
1268,(주)제이앤피바이오,"혼합음료,발효음료,숙취해소음료",건강기능식품 제조업 외 2 종,"인천광역시 서구 보듬로 158, 6층 검단지식산업센터 블루텍 618호 (오류동) 외 1필지",,,2021-06-30,,
1269,(주)제이에스마그네트,마그네트 응용기기,그 외 기타 전기장비 제조업,인천광역시 서구 장고개로117번길 22 (가좌동),032-575-3370,032-575-3371,2021-06-30,,
1270,(주)제이에스앤코,철강 및 비철 가공,절삭가공 및 유사처리업,"인천광역시 서구 가재울로32번길 10, 2동 (가좌동)",032-572-4800,032-572-4810,2021-06-30,,
1271,(주)제이에스특장,"내장탑,윙바디,냉동탑,전기냉동탑",차체 및 특장차 제조업,인천광역시 서구 한서로 14 (백석동),032-571-7080,050-4150-4077,2021-06-30,,
1272,(주)제이에스티,"플랜트, 감속기, 나사 스크류 외",기어 및 동력전달장치 제조업 외 2 종,인천광역시 서구 보듬로 178 (오류동),031-983-6951,032-564-6995,2021-06-30,,
1273,(주)제이에이에이소프트,"방송용프롬프터,전동페데스탈",방송장비 제조업,"인천광역시 서구 봉수대로300번길 33, 2층 (석남동)",032-576-0077,02-6499-2578,2021-06-30,,
1274,(주)제이에이치글로벌테크,스텐레스판,그 외 기타 금속가공업,"인천광역시 서구 가람로 14, 6층 인천표면처리센터 코아텍 617호 (오류동)",,,2021-06-30,,
1275,(주)제이에이치에너지,금속구조물,구조용 금속 판제품 및 공작물 제조업,인천광역시 서구 북항로120번길 13-26 (원창동),032-573-5570,032-573-5571,2021-06-30,,
1276,(주)제이에이치티앤티,차량용흡음재,그 외 자동차용 신품 부품 제조업 외 3 종,"인천광역시 서구 길주로45번길 17-5 (석남동, 대정철강(주))",032-581-9294,032-581-9363,2021-06-30,,
1277,(주)제이엔테크,"가로등,보안등 ",일반용 전기 조명장치 제조업,"인천광역시 서구 가좌로29번길 42 (가좌동, 가가(주))",032-225-5698,032-225-5690,2021-06-30,,
1278,(주)제이엔티,공기조화장치.배기장치,공기 조화장치 제조업 외 1 종,인천광역시 서구 북항로177번길 30 (원창동),032-522-9747,032-232-3651,2021-06-30,,
1279,(주)제이케이시스템,산업용 전기 컨트롤 판넬,배전반 및 전기 자동제어반 제조업,"인천광역시 서구 검단로 85, 3동 (오류동)",032-563-7250,032-575-1433,2021-06-30,,
1280,(주)제이케이하이텍,베어링캡,자동차 엔진용 신품 부품 제조업,"인천광역시 서구 가남로 51, 1층 (가좌동)",032-862-1330,032-862-1332,2021-06-30,,
1281,(주)제이텍일렉트릭,"배전반,분전반",배전반 및 전기 자동제어반 제조업,인천광역시 서구 가정로48번길 10 (가좌동),032-589-8035,032-589-8160,2021-06-30,,
1282,(주)제이투이앤씨,SRU 폴리우레아,합성수지 및 기타 플라스틱 물질 제조업,"인천광역시 서구 도담로 138, 2동 (오류동)",032-583-7404,032-583-7406,2021-06-30,,
1283,(주)제이티공조,"승강기에어컨,승강기공기청정기",공기 조화장치 제조업,"인천광역시 서구 거북로 17, 나동 7층 717-1 (석남동, 인천테크피아)",032-218-9995,032-288-9996,2021-06-30,,
1284,(주)제이피씨오토모티브,"자동차부품,금형",자동차 차체용 신품 부품 제조업 외 6 종,인천광역시 서구 북항로178번길 68-29 (원창동),032-717-5574,032-232-1305,2021-06-30,,
1285,(주)제이피씨오토모티브,자동차용 플라스틱 부품 외,"고무, 화학섬유 및 플라스틱 성형기 제조업 외 8 종",,032-717-5507,,2021-06-30,,
1286,(주)제일가스,"산소,질소,아르곤,탄산,혼합가스",산업용 가스 제조업,"인천광역시 서구 두루물로8번길 46 (오류동, (주)제일가스)",032-567-6050,032-567-6058,2021-06-30,,
1287,(주)제일금속엔지니어링,"석재용톱날,스텐레스앙카",그 외 기타 1차 철강 제조업,"인천광역시 서구 원전로37번길 19 (경서동, (주)제일금속엔지니어링)",032-563-6300,032-561-0110,2021-06-30,,
1288,(주)제일금속엔지니어링,"포밍형강, 평철, 무라켁",육상 금속 골조 구조재 제조업,인천광역시 서구 도담1로 20 (오류동),032-563-6300,032-561-0110,2021-06-30,,
1289,(주)제일티에스,"레이저 절단부품(철판), 스틸그레이팅",절삭가공 및 유사처리업 외 1 종,인천광역시 서구 마중4로 17 (오류동),032-567-0863,032-567-0865,2021-06-30,,
1290,(주)제일티엔아이,액체여과기 제조 외,액체 여과기 제조업 외 1 종,인천광역시 서구 보듬로 163 (오류동),032-564-1221,032-564-0459,2021-06-30,,
1291,(주)제일피엠에스,"밸브부품,직선샤프트",그 외 기타 금속가공업 외 1 종,"인천광역시 서구 도담로 42, 9동 (오류동)",032-575-5071,032-575-5072,2021-06-30,,
1292,(주)제일피유씨,우레탄스폰치,그 외 기타 플라스틱 제품 제조업,"인천광역시 서구 건지로97번길 17 (석남동, (주)제일피.유.씨)",032-579-0455,032-579-7755,2021-06-30,,
1293,(주)제일필름,폴리에스터 필름 가공,플라스틱 필름 제조업,인천광역시 서구 마중로 37 (오류동),032-565-0677,032-565-0679,2021-06-30,,
1294,(주)제코스,인쇄회로기판,경성 인쇄회로기판 제조업 외 1 종,인천광역시 서구 보도진로54번길 17 (가좌동),032-575-8161,032-575-8163,2021-06-30,,
1295,(주)제흥,임대사업,비주거용 건물 임대업,"인천광역시 서구 사렴로 45 (경서동, 2동) (총 2 필지) 외 1필지",,,2021-06-30,,
1296,(주)조광,금형 및 사출성형품,운송장비 조립용 플라스틱제품 제조업 외 1 종,인천광역시 서구 보도진로 100-80 (가좌동) 외 1필지,032-523-3902,032-526-3902,2021-06-30,,
1297,(주)조광램프,전구,전구 및 램프 제조업,인천광역시 서구 가정로 44 (가좌동),032-573-3660,032-573-3662,2021-06-30,,
1298,(주)조영이엔티,정수기필터케이스,포장용 플라스틱 성형용기 제조업,인천광역시 서구 가재울로32번길 9 (가좌동),032-816-0074,032-816-7787,2021-06-30,,
1299,(주)조은진공엔지니어링,고진공증착장치,그 외 기타 특수목적용 기계 제조업 외 1 종,인천광역시 서구 가정로87번길 28 (가좌동),032-579-7202,032-579-7204,2021-06-30,,
1300,(주)조인티엔피,AL-Tube,그 외 기타 의료용 기기 제조업,인천광역시 서구 염곡로134번길 13 (가좌동),032-576-0002,032-576-3696,2021-06-30,,
1301,(주)종우실업,화장품용 펌프,그 외 기타 플라스틱 제품 제조업 외 1 종,인천광역시 서구 로봇랜드로249번길 114-22 (청라동),032-812-2009,032-813-0779,2021-06-30,,
1302,(주)좋은나눔테크,전자부품,그 외 기타 전자부품 제조업 외 1 종,"인천광역시 서구 장고개로 125, 1층 101호 (가좌동)",032-577-0714,032-573-0714,2021-06-30,,
1303,(주)주신기계,파우더제조믹서기,그 외 기타 일반목적용 기계 제조업 외 1 종,인천광역시 서구 거북로 25-16 (석남동),032-581-4605,032-581-4607,2021-06-30,,
1304,(주)주원,자동차에어밴트,공기 조화장치 제조업,"인천광역시 서구 봉수대로300번길 23, 3층 (석남동)",,,2021-06-30,,
1305,(주)주원에스텍,"사무기기,금속케이스",자동차용 금속 압형제품 제조업 외 1 종,인천광역시 서구 원전로12번길 18 (경서동),032-542-1736,032-555-0834,2021-06-30,,
1306,(주)주원엔지니어링,자동제어시스템,배전반 및 전기 자동제어반 제조업,"인천광역시 서구 가남로 61, A동 3층 306 (가좌동, 토지산업2차 지식산업센터)",032-579-2539,032-579-2540,2021-06-30,,
1307,(주)준산업,목재가구,기타 목재가구 제조업,인천광역시 서구 도담8로 15 (오류동),032-568-5694,032-568-5695,2021-06-30,,
1308,(주)중앙,주형,주형 및 금형 제조업,인천광역시 서구 호두산로 117 (경서동),032-561-5310,032-561-5311,2021-06-30,,
1309,(주)중앙창호,"목재, 시스템창호, 주방가구",일반 제재업 외 3 종,인천광역시 서구 석남동 223-40번지,032-571-7771,032-575-6655,2021-06-30,,
1310,(주)지닉스,"화재감지기, 피난유도등",전기경보 및 신호장치 제조업,"인천광역시 서구 가좌로95번길 16, 2층 (가좌동)",070-4887-1620,02-865-2518,2021-06-30,,
1311,(주)지덕이엔지,건축물 구조계산 및 검토,건물 및 토목 엔지니어링 서비스업,인천광역시 서구 가재울로 109 (가좌동) -동 -층 907호,02-3143-3688,02-3143-3677,2021-06-30,,
1312,(주)지디아이,전동기,전동기 및 발전기 제조업,인천광역시 서구 중봉대로 200 (가좌동),032-575-8301,032-575-8303,2021-06-30,,
1313,(주)지산어패럴,"군복,아웃도어,전기장판,발열파티션","근무복, 작업복 및 유사의복 제조업 외 5 종",인천광역시 서구 가정로 294 (석남동),032-571-9123,032-575-9122,2021-06-30,,
1314,(주)지산엠텍,"욕조, 세면기 및 싱크대상판",플라스틱 필름 제조업 외 1 종,인천광역시 서구 원당대로246번길 7 (오류동) 외 1필지,032-565-0616,032-565-0626,2021-06-30,,
1315,(주)지성전자,트랜스포머,"전자코일, 변성기 및 기타 전자 유도자 제조업",인천광역시 서구 경명대로 704-1 (공촌동),032-556-7740,032-556-7739,2021-06-30,,
1316,(주)지에스씨솔루션,배터리팩,기타 전기 변환장치 제조업,인천광역시 서구 보듬로 158 (오류동) 블루텍 공존 222호,,,2021-06-30,,
1317,(주)지에스이엘리베이터,승강기,승강기 제조업,인천광역시 서구 가현산로46번길 69 (대곡동),032-568-8025,032-568-8026,2021-06-30,,
1318,(주)지에이테크,교통신호 제어기,교통 신호장치 제조업,"인천광역시 서구 보도진로30번길 11,1층, 2층일부 (가좌동)",032-579-4703,032-579-4706,2021-06-30,,
1319,(주)지엔,주방용가구. 붙박이가구,기타 목재가구 제조업,인천광역시 서구 북항로 28-48 (원창동),032-573-6636,032-573-3067,2021-06-30,,
1320,(주)지엔엠라이프,과실주스 등 ,기타 과실ㆍ채소 가공 및 저장 처리업,인천광역시 서구 가좌로95번길 48 (가좌동),16008741,264990815,2021-06-30,,
1321,(주)지엘가이아,"휴대폰케이스, 화장품케이스 도장",플라스틱 접착처리 제품 제조업 외 1 종,"인천광역시 서구 가좌로95번길 54, 3층,4층 (가좌동)",,,2021-06-30,,
1322,(주)지엘텍,조명기구,일반용 전기 조명장치 제조업,"인천광역시 서구 보듬로 158, 8층 검단지식산업센터 블루텍 827호 (오류동)",032-324-7411,032-324-7211,2021-06-30,,
1323,(주)지오엔씨,반도체기계장비,반도체 제조용 기계 제조업,인천광역시 서구 염곡로15번길 17-1 (가좌동) 드레곤밸리 아파트형공장 202호,032-579-4493,032-579-4494,2021-06-30,,
1324,(주)지이에스티,전원공급장치,기타 전기 변환장치 제조업 외 1 종,"인천광역시 서구 건지로 164, 1동 2층 (가좌동)",032-765-7795,032-765-7794,2021-06-30,,
1325,(주)지이테크,플라스틱장비부품,운송장비 조립용 플라스틱제품 제조업 외 1 종,"인천광역시 서구 가정로37번길 33, A동 1층 101 (가좌동, 가좌I.C APT형 공장) 외 2필지",032-873-4137,032-873-4138,2021-06-30,,
1326,(주)지이티이앤디,"돔배드, 반신욕기",기타 가정용 전기기기 제조업,"인천광역시 서구 길주로45번길 7, 3F (석남동)",032-508-4680,032-575-4680,2021-06-30,,
1327,(주)지인퍼니처,목재가공품,주방용 및 음식점용 목재가구 제조업,인천광역시 서구 백범로934번길 21 (가좌동) 3층 및 4층 일부,032-577-3275,032-577-3276,2021-06-30,,
1328,(주)지지테크,인쇄회로기판,인쇄회로기판용 적층판 제조업 외 2 종,인천광역시 서구 검단천로356번길 25(오류동),031-494-0502,031-494-0507,2021-06-30,,
1329,(주)지케이에스,"휴대폰부품, 자동차부품",기타 무선 통신장비 제조업 외 5 종,인천광역시 서구 검단천로356번길 5 (오류동),032-575-9093,032-579-9095,2021-06-30,,
1330,(주)지큐에스테크놀러지,전자회로기판,인쇄회로기판용 적층판 제조업,인천광역시 서구 장고개로117번길 48 (가좌동),032-575-7058,032-575-7045,2021-06-30,,
1331,(주)지피헬스케어,마스크,기타 직물제품 제조업,"인천광역시 서구 가재울로 109 (가좌동) 401, 402, 403호",,,2021-06-30,,
1332,(주)진광산업,중자,주형 및 금형 제조업,인천광역시 서구 사렴로10번길 15 (경서동),032-567-7850,032-567-7858,2021-06-30,,
1333,(주)진성,금속제품,그 외 기타 금속가공업,"인천광역시 서구 가람로 14, 5층 인천표면처리센터 코아텍 513호 (오류동)",02-406-1003,02-409-1005,2021-06-30,,
1334,(주)진성메카시스템,시험기기,"전자기 측정, 시험 및 분석기구 제조업 외 3 종",인천광역시 서구 염곡로15번길 18 (가좌동),032-671-1937,032-671-1939,2021-06-30,,
1335,(주)진성에너지,밸브 및 기계조립부품,그 외 기타 금속가공업,"인천광역시 서구 거북로 17, 나동 B1층 124 (석남동, 인천테크피아)",032-579-2893,032-577-2895,2021-06-30,,
1336,(주)진성에스앤피,필름,플라스틱 필름 제조업 외 1 종,"인천광역시 서구 중봉대로376번길 26-1 (원창동, 진성화학)",032-577-5514,032-577-9625,2021-06-30,,
1337,(주)진성종합테크,"컨베이어, 이송장치 외",컨베이어장치 제조업,인천광역시 서구 가정로8번길 6 (가좌동),032-583-7193,032-583-7195,2021-06-30,,
1338,(주)진성피엘티,항온항습기,공기 조화장치 제조업 외 1 종,인천광역시 서구 북항로120번길 13-18 (원창동),032-573-8731,032-572-8733,2021-06-30,,
1339,(주)진솔인더스트리,자동차가죽시트,그 외 자동차용 신품 부품 제조업,인천광역시 서구 뱃길1로 42 (오류동),032-576-8759,032-577-8759,2021-06-30,,
1340,(주)진솔인더스트리,자동차 가죽시트,자동차용 신품 의자 제조업,,032-576-8759,032-577-859,2021-06-30,,
